留言,公司名稱1,標的號碼1,公司名稱2,標的號碼2,公司名稱3,標的號碼3
阿姨再來要爆噴到70  今天已經卡位了,,,,,,
融資又來了 慘 塊陶阿!!!,,,,,,
明後年有3.5元，願意相信的抱三年看看,,,,,,
明天崩 聰明融資全變智障,,,,,,
7月除息已經填息,,,,,,
https://i.imgur.com/Fr0BgFf.jpg,,,,,,
面板聰明融資好多,,,,,,
窩好人，建議融資不要亂凹單，真心不騙,,,,,,
跌3天 散戶不請自來?,,,,,,
沒人玩,,,,,,
完了,,,,,,
99阿姨,宏達電,2498,,,,
聰明融資,,,,,,
空單舒適,,,,,,
東哥要尬死人了,,,,,,
元太還在料理空蛙 穩,元太,8069,,,,
鰻魚的空單真的不放棄 不過感覺漲勢差不多了,,,,,,
水哦 資增 幫高調,,,,,,
我也覺得鰻魚差不多了,,,,,,
最近融資其實很強 繼續看看,,,,,,
想到上次CPI開前資增17億 隔天漲400點 真的某,,,,,,
崩崩,,,,,,
阿姨套死一堆人,宏達電,2498,,,,
倫飛融資瘋了,倫飛,2364,,,,
二哥融資會贏,,,,,,
阿姨賣壓超大欸 紅立馬被打下來...,宏達電,2498,,,,
融資拼命了,,,,,,
融資的是鐵了心台股絕不會跌破萬5才大膽拗下去嗎,,,,,,
https://i.imgur.com/ItsxlkE.jpg 這種水位 何來凹,,,,,,
單,,,,,,
鰻魚當沖比77趴又創高,,,,,,
阿榮空軍怎麼跑了……反觀阿明借券哥還繼續賣,,,,,,
散戶大抄底,,,,,,
融資水位這邊當然進場啊 這麼低,,,,,,
怎麼會有健喬...被凱雞倒爛,,,,,,
可憐的東哥空軍 明天說不定直接一條線,,,,,,
哈 連續資增 要大崩盤了,,,,,,
F姊說的真好,,,,,,
鰻魚可以全力放空了,,,,,,
台股做多是不是無風險？,,,,,,
看到資增就要大崩盤是多怕,,,,,,
嘴炮一下別太認真,,,,,,
美股,,,,,,
還敢資增，明天一根,,,,,,
不得不說二哥融資超強,,,,,,
主力融資：你在空空看啊,,,,,,
長榮空單跑了就要跌了G_G,長榮,2603,,,,
阿榮空單也能隔日沖逆,,,,,,
鰻魚追高討不到便宜吧,,,,,,
阿明借券來到13萬惹,,,,,,
鰻魚 明天會是臭酸還是香的,,,,,,
完了還 資增 崩定了,,,,,,
你可以去查一下二哥融資上次抄底根本大獲全勝,,,,,,
從40抄到38 然後就漲到43了 世界強,,,,,,
阿榮只剩10天要還券啊,,,,,,
散戶..,,,,,,
這波反彈其實融資根本就沒增加多少吧,,,,,,
東哥今天借券回補不少。,,,,,,
跟盤後主力比對，威盛買超的主力怎麼都是用融資啊,威盛,2388,,,,
神鬼融資,,,,,,
華通還要買啊？,華通,2313,,,,
上品要噴到多少,上品,4770,,,,
好悲慘 就智原兩邊都上榜還-4.5,智原,3035,,,,
上品 無緣...25x 26x都買 就是沒抱住 摳年,上品,4770,,,,
-30萬,,,,,,
還沒賣掉就不算賠,,,,,,
4字頭根本不用怕。689大學長才要哭,,,,,,
700 元…995,,,,,,
-11w,,,,,,
基本持股@@？,,,,,,
150再加碼就好,,,,,,
才三萬，在那叫什麼。敢玩就敢虧,,,,,,
我等250再看看,,,,,,
光gg我就虧54萬左右，還有其他金融，槓,台積電,2330,,,,
各位都是大股東,,,,,,
台積688 大學長 有天溢價成交比688高,台積電,2330,,,,
才3萬,,,,,,
50-60,,,,,,
能虧54萬加金融表示你本金也不少,,,,,,
問九面啊,,,,,,
之前抄270半張 今年600抄下來湊一張 均價405出 小虧,,,,,,
樓上有買cover聖經？,,,,,,
別怕..哲哲不能買台GG，只好買0050，都虧近600萬了,元大台灣50,0050,,,,
我知道你還有錢,,,,,,
0..,,,,,,
沒買台股，只買50反一,元大台灣50反1,00632R,,,,
剛剛才買100股 準備350加碼200 300加碼400,,,,,,
不要問你會怕！！！,,,,,,
早就空手了,,,,,,
400多出光了,,,,,,
-20多萬,,,,,,
不不不..是..不要問..我會怕(不願面對)..,,,,,,
光金融我就快-100了QQ 禮拜四停損出掉,,,,,,
我等150,,,,,,
羨慕能虧一百萬,,,,,,
零股仔我也虧三萬左右XDD,,,,,,
損益兩平了。悲劇,,,,,,
-3萬 沒仔細看損益 憑印象,,,,,,
沒直接買 tsmc，但手上的 0050 目前賠了快 50 萬 QQ,元大台灣50,0050,,,,
fj停損了嗎？,,,,,,
你沒有買房地產的護國神山嗎,,,,,,
這隻股票就是要抱10年以上的，短期波動根本沒什麼！,,,,,,
買得起都很有錢 不怕,,,,,,
金融可以-100XD  本金很厚齁,,,,,,
現在不停損 難道你要等未來200才…嗎,,,,,,
沒碰 所以沒有虧...連0050我都沒有,元大台灣50,0050,,,,
我還以為是比特幣,,,,,,
https://i.imgur.com/qFQKOuc.png,,,,,,
績優股都沒跌50%,,,,,,
拿去買房了吧==,,,,,,
你是高歌離席轉錢去買房吧,,,,,,
我知道你還有一對腰子,,,,,,
買哪一隻啊,,,,,,
對帳單那麽好截圖..你特定這樣截2張 ？,,,,,,
說不定是賣掉股票而已…,,,,,,
假的,,,,,,
樓上=…=,,,,,,
這種跌幅是開槓桿吧... 又不是美股,,,,,,
面板吧,,,,,,
真的慘…不忍噓,,,,,,
貼對帳單阿  貼戶頭幹嘛?,,,,,,
坦白說你484名下多一間房跟一筆房貸惹,,,,,,
短線要彈了謝謝你,,,,,,
這張不夠真實,,,,,,
搞不好高割離席反串而已,,,,,,
融資全開然後快斷頭就是這樣 QQ,,,,,,
今天廢半帶大家一起AAA,,,,,,
這個是集保e存摺吧,,,,,,
量縮成這樣,,,,,,
這就集保e存摺啊,,,,,,
大盤跌17%很多個股都不知道跌去哪了,,,,,,
訊號？,,,,,,
沒事幫補血,,,,,,
感覺來騙的,,,,,,
真的話還蠻慘的.. 這縮的也太多了,,,,,,
有蠢蛋看不懂這兩張圖背後意義 笑死,,,,,,
？,,,,,,
也沒對賬單一堆人在跳,,,,,,
給尊敬,,,,,,
恭喜脫離苦海，善哉善哉。,,,,,,
"值得尊敬 respect ",,,,,,
騙小騙鼻的,,,,,,
你只是賣掉吧,,,,,,
通膨真的會過去啊.....，是不是反串文呀，繼續忍一年搞不好就反轉了,,,,,,
這邊都玩股票的賭徒，沒那麼好騙啦,,,,,,
主跌段還沒來就虧這麼多？,,,,,,
對帳單請出示,,,,,,
才百萬 想騙誰,,,,,,
這表示還沒賣啊，畢業三小,,,,,,
這是以為版上都新手發的廢文嗎,,,,,,
QQ,,,,,,
一台GLC 沒惹,Mercedes-Benz GLC,,,,,
你這賣了再說,,,,,,
三百萬也太多了......拍拍,,,,,,
3小阿,,,,,,
這哪門子對帳單？,,,,,,
呵呵 這種只貼前後總資產差多少的一看就知道想誤導,,,,,,
凹下來了,,,,,,
原本是這個原因，那個時間點才會全部跌下來一些。,,,,,,
台灣應該會跟1碼吧！,,,,,,
噴好大一根！！,,,,,,
台灣大概又會貶值,,,,,,
感覺上至少要跟1碼,,,,,,
嘎嘎嘎,,,,,,
一直上上下下超煩,,,,,,
反彈再空啊 其實蠻好的 死貓跳而已,,,,,,
已反應,,,,,,
明天美股才跌,,,,,,
台灣敢升 物價立刻上漲,,,,,,
買不起又租不起的日子要來了嗎,,,,,,
猜台灣半碼慢慢升,,,,,,
一碼都要被罵到臭頭了，半碼是找死,,,,,,
反觀 台灣 一個垃圾 出張嘴,,,,,,
呆丸喔 一切看房產啦～百萬房貸大軍在哀哀叫了 到時房貸倒債 羊行長官自己看著辦 科科 自己搞十幾年低利率 現在弄個大泡沫出來,,,,,,
年底前還有7-8碼。,,,,,,
塊 陶 啊,,,,,,
輸了..樂透沒了,,,,,,
台灣升太少資金就往美元流動而已,,,,,,
來囉 超級大空頭,,,,,,
台灣cpi應該有7-8%，外面物價都漲翻天了,,,,,,
1.5碼,,,,,,
一堆亂預測的 這次加起來是5碼來看才對,,,,,,
王美花還不升，資金外套台股淪為外資提款機,,,,,,
升息不是王美花決定的吧？..,,,,,,
說好的血流成河咧,,,,,,
台灣頂多半碼 謝謝,,,,,,
鮑皮都騙人,,,,,,
20年低利泡沫，不用還代價？,,,,,,
呆丸要升幾碼？科科,,,,,,
應該繼續印鈔票，繼續開趴踢，繼續炒繼續漲，畢竟台灣不一樣,,,,,,
半碼,,,,,,
台灣應該要2碼了 5月2碼 6月3碼 7月再2碼 總共就7碼 台灣如果只升2碼 就只能等死 下次理監事會要到9月 這次如果沒升2碼 就只能等死,,,,,,
幾馬幾馬的很無聊,,,,,,
台灣二馬表示,,,,,,
台灣都無碼啦 不要嘴,,,,,,
符合預期,,,,,,
= =太猛了吧,,,,,,
台灣頂多一碼啦，升多房貸族就死在那,,,,,,
台灣油電凍漲就是不想升息啊,,,,,,